code,name
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,"Richmond, VA: Richmond International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
ROC,"Rochester, NY: Greater Rochester International"
ROW,"Roswell, NM: Roswell International Air Center"
RST,"Rochester, MN: Rochester International"
SAT,"San Antonio, TX: San Antonio International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SDF,"Louisville, KY: Louisville International-Standiford Field"
SGF,"Springfield, MO: Springfield-Branson National"
SHV,"Shreveport, LA: Shreveport Regional"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
SPI,"Springfield, IL: Abraham Lincoln Capital"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
STL,"St. Louis, MO: St Louis Lambert International"
SUX,"Sioux City, IA: Sioux Gateway/Col. Bud Day Field"
SWO,"Stillwater, OK: Stillwater Regional"
SYR,"Syracuse, NY: Syracuse Hancock International"
TLH,"Tallahassee, FL: Tallahassee International"
TOL,"Toledo, OH: Toledo Express"
TUL,"Tulsa, OK: Tulsa International"
TVC,"Traverse City, MI: Cherry Capital"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
TYR,"Tyler, TX: Tyler Pounds Regional"
TYS,"Knoxville, TN: McGhee Tyson"
XNA,"Fayetteville, AR: Northwest Arkansas Regional"
ACY,"Atlantic City, NJ: Atlantic City International"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
BDL,"Hartford, CT: Bradley International"
BOS,"Boston, MA: Logan International"
BQN,"Aguadilla, PR: Rafael Hernandez"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
CAK,"Akron, OH: Akron-Canton Regional"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CMH,"Columbus, OH: John Glenn Columbus International"
CRW,"Charleston/Dunbar, WV: Yeager"
DEN,"Denver, CO: Denver International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
EWR,"Newark, NJ: Newark Liberty International"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
IAG,"Niagara Falls, NY: Niagara Falls International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
LAS,"Las Vegas, NV: McCarran International"
LAX,"Los Angeles, CA: Los Angeles International"
LBE,"Latrobe, PA: Arnold Palmer Regional"
LGA,"New York, NY: LaGuardia"
MCI,"Kansas City, MO: Kansas City International"
MCO,"Orlando, FL: Orlando International"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OAK,"Oakland, CA: Metropolitan Oakland International"
ORD,"Chicago, IL: Chicago OHare International"
PBG,"Plattsburgh, NY: Plattsburgh International"
PDX,"Portland, OR: Portland International"
PHL,"Philadelphia, PA: Philadelphia International"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
PIT,"Pittsburgh, PA: Pittsburgh International"
RIC,"Richmond, VA: Richmond International"
RSW,"Fort Myers, FL: Southwest Florida International"
SAN,"San Diego, CA: San Diego International"
SEA,"Seattle, WA: Seattle/Tacoma International"
SJU,"San Juan, PR: Luis Munoz Marin International"
STT,"Charlotte Amalie, VI: Cyril E King"
TPA,"Tampa, FL: Tampa International"
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
AGS,"Augusta, GA: Augusta Regional at Bush Field"
ALB,"Albany, NY: Albany International"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
BDL,"Hartford, CT: Bradley International"
BGR,"Bangor, ME: Bangor International"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
BNA,"Nashville, TN: Nashville International"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
BTV,"Burlington, VT: Burlington International"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
CAE,"Columbia, SC: Columbia Metropolitan"
CAK,"Akron, OH: Akron-Canton Regional"
CHA,"Chattanooga, TN: Lovell Field"
CHO,"Charlottesville, VA: Charlottesville Albemarle"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CRW,"Charleston/Dunbar, WV: Yeager"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
DAB,"Daytona Beach, FL: Daytona Beach International"
DAY,"Dayton, OH: James M Cox/Dayton International"
DCA,"Washington, DC: Ronald Reagan Washington National"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
EVV,"Evansville, IN: Evansville Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
FWA,"Fort Wayne, IN: Fort Wayne International"
GNV,"Gainesville, FL: Gainesville Regional"
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
MOT,"Minot, ND: Minot International"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GSO,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,"Greer, SC: Greenville-Spartanburg International"
HPN,"White Plains, NY: Westchester County"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
HVN,"New Haven, CT: Tweed New Haven"
IAD,"Washington, DC: Washington Dulles International"
ILM,"Wilmington, NC: Wilmington International"
IND,"Indianapolis, IN: Indianapolis International"
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
JAX,"Jacksonville, FL: Jacksonville International"
LEX,"Lexington, KY: Blue Grass"
LGA,"New York, NY: LaGuardia"
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
MCI,"Kansas City, MO: Kansas City International"
MDT,"Harrisburg, PA: Harrisburg International"
MEM,"Memphis, TN: Memphis International"
MGM,"Montgomery, AL: Montgomery Regional"
MHT,"Manchester, NH: Manchester-Boston Regional"
MKE,"Milwaukee, WI: General Mitchell International"
MLB,"Melbourne, FL: Melbourne International"
MOB,"Mobile, AL: Mobile Regional"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OKC,"Oklahoma City, OK: Will Rogers World"
OMA,"Omaha, NE: Eppley Airfield"
ORD,"Chicago, IL: Chicago OHare International"
ORF,"Norfolk, VA: Norfolk International"
PGV,"Greenville, NC: Pitt Greenville"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
PHL,"Philadelphia, PA: Philadelphia International"
PIA,"Peoria, IL: General Downing - Peoria International"
PIT,"Pittsburgh, PA: Pittsburgh International"
PNS,"Pensacola, FL: Pensacola International"
PVD,"Providence, RI: Theodore Francis Green State"
PWM,"Portland, ME: Portland International Jetport"
RAP,"Rapid City, SD: Rapid City Regional"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,"Richmond, VA: Richmond International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
ROC,"Rochester, NY: Greater Rochester International"
SAT,"San Antonio, TX: San Antonio International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SDF,"Louisville, KY: Louisville International-Standiford Field"
SHV,"Shreveport, LA: Shreveport Regional"
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
STL,"St. Louis, MO: St Louis Lambert International"
SYR,"Syracuse, NY: Syracuse Hancock International"
TLH,"Tallahassee, FL: Tallahassee International"
TOL,"Toledo, OH: Toledo Express"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TUL,"Tulsa, OK: Tulsa International"
TYS,"Knoxville, TN: McGhee Tyson"
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
XNA,"Fayetteville, AR: Northwest Arkansas Regional"
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
ABQ,"Albuquerque, NM: Albuquerque International Sunport"
ABR,"Aberdeen, SD: Aberdeen Regional"
ABY,"Albany, GA: Southwest Georgia Regional"
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
AEX,"Alexandria, LA: Alexandria International"
AGS,"Augusta, GA: Augusta Regional at Bush Field"
ALB,"Albany, NY: Albany International"
APN,"Alpena, MI: Alpena County Regional"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
ATW,"Appleton, WI: Appleton International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
BDL,"Hartford, CT: Bradley International"
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
BFL,"Bakersfield, CA: Meadows Field"
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
BGR,"Bangor, ME: Bangor International"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
BIL,"Billings, MT: Billings Logan International"
BIS,"Bismarck/Mandan, ND: Bismarck Municipal"
BJI,"Bemidji, MN: Bemidji Regional"
BMI,"Bloomington/Normal, IL: Central Illinois Regional"
BNA,"Nashville, TN: Nashville International"
BOI,"Boise, ID: Boise Air Terminal"
BOS,"Boston, MA: Logan International"
BRD,"Brainerd, MN: Brainerd Lakes Regional"
BRO,"Brownsville, TX: Brownsville South Padre Island International"
BTM,"Butte, MT: Bert Mooney"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
BTV,"Burlington, VT: Burlington International"
BUF,"Buffalo, NY: Buffalo Niagara International"
BUR,"Burbank, CA: Bob Hope"
BZN,"Bozeman, MT: Bozeman Yellowstone International"
CAE,"Columbia, SC: Columbia Metropolitan"
CAK,"Akron, OH: Akron-Canton Regional"
CDC,"Cedar City, UT: Cedar City Regional"
CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
CHA,"Chattanooga, TN: Lovell Field"
CHO,"Charlottesville, VA: Charlottesville Albemarle"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CIU,"Sault Ste. Marie, MI: Chippewa County International"
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLL,"College Station/Bryan, TX: Easterwood Field"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CMX,"Hancock/Houghton, MI: Houghton County Memorial"
CNY,"Moab, UT: Canyonlands Field"
COD,"Cody, WY: Yellowstone Regional"
COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
COU,"Columbia, MO: Columbia Regional"
CPR,"Casper, WY: Casper/Natrona County International"
CRW,"Charleston/Dunbar, WV: Yeager"
CSG,"Columbus, GA: Columbus Airport"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
CWA,"Mosinee, WI: Central Wisconsin"
DAL,"Dallas, TX: Dallas Love Field"
DAY,"Dayton, OH: James M Cox/Dayton International"
DCA,"Washington, DC: Ronald Reagan Washington National"
DEN,"Denver, CO: Denver International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DHN,"Dothan, AL: Dothan Regional"
DLH,"Duluth, MN: Duluth International"
DRO,"Durango, CO: Durango La Plata County"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
DVL,"Devils Lake, ND: Devils Lake Regional"
EAU,"Eau Claire, WI: Chippewa Valley Regional"
EGE,"Eagle, CO: Eagle County Regional"
EKO,"Elko, NV: Elko Regional"
ELP,"El Paso, TX: El Paso International"
ERI,"Erie, PA: Erie International/Tom Ridge Field"
ESC,"Escanaba, MI: Delta County"
EUG,"Eugene, OR: Mahlon Sweet Field"
EVV,"Evansville, IN: Evansville Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
EWR,"Newark, NJ: Newark Liberty International"
FAR,"Fargo, ND: Hector International"
FAT,"Fresno, CA: Fresno Yosemite International"
FCA,"Kalispell, MT: Glacier Park International"
FLG,"Flagstaff, AZ: Flagstaff Pulliam"
FNT,"Flint, MI: Bishop International"
FSD,"Sioux Falls, SD: Joe Foss Field"
FSM,"Fort Smith, AR: Fort Smith Regional"
FWA,"Fort Wayne, IN: Fort Wayne International"
GCC,"Gillette, WY: Gillette Campbell County"
GEG,"Spokane, WA: Spokane International"
GFK,"Grand Forks, ND: Grand Forks International"
GJT,"Grand Junction, CO: Grand Junction Regional"
GNV,"Gainesville, FL: Gainesville Regional"
GRB,"Green Bay, WI: Green Bay Austin Straubel International"
GRK,"Killeen, TX: Robert Gray AAF"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GSO,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,"Greer, SC: Greenville-Spartanburg International"
GTF,"Great Falls, MT: Great Falls International"
HDN,"Hayden, CO: Yampa Valley"
HIB,"Hibbing, MN: Range Regional"
HLN,"Helena, MT: Helena Regional"
HPN,"White Plains, NY: Westchester County"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
HYS,"Hays, KS: Hays Regional"
IAD,"Washington, DC: Washington Dulles International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
IDA,"Idaho Falls, ID: Idaho Falls Regional"
IMT,"Iron Mountain/Kingsfd, MI: Ford"
IND,"Indianapolis, IN: Indianapolis International"
INL,"International Falls, MN: Falls International Einarson Field"
ISN,"Williston, ND: Sloulin Field International"
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
JAC,"Jackson, WY: Jackson Hole"
JAX,"Jacksonville, FL: Jacksonville International"
JFK,"New York, NY: John F. Kennedy International"
JMS,"Jamestown, ND: Jamestown Regional"
KTN,"Ketchikan, AK: Ketchikan International"
LAN,"Lansing, MI: Capital Region International"
LAR,"Laramie, WY: Laramie Regional"
LAS,"Las Vegas, NV: McCarran International"
LAX,"Los Angeles, CA: Los Angeles International"
LBB,"Lubbock, TX: Lubbock Preston Smith International"
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
LBL,"Liberal, KS: Liberal Mid-America Regional"
LEX,"Lexington, KY: Blue Grass"
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
LGA,"New York, NY: LaGuardia"
LGB,"Long Beach, CA: Long Beach Airport"
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
LNK,"Lincoln, NE: Lincoln Airport"
LSE,"La Crosse, WI: La Crosse Regional"
LWB,"Lewisburg, WV: Greenbrier Valley"
LWS,"Lewiston, ID: Lewiston Nez Perce County"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MBS,"Saginaw/Bay City/Midland, MI: MBS International"
MCI,"Kansas City, MO: Kansas City International"
MDT,"Harrisburg, PA: Harrisburg International"
MDW,"Chicago, IL: Chicago Midway International"
MEI,"Meridian, MS: Key Field"
MEM,"Memphis, TN: Memphis International"
MFR,"Medford, OR: Rogue Valley International - Medford"
MGM,"Montgomery, AL: Montgomery Regional"
MHT,"Manchester, NH: Manchester-Boston Regional"
MKE,"Milwaukee, WI: General Mitchell International"
MKG,"Muskegon, MI: Muskegon County"
MLI,"Moline, IL: Quad City International"
MLU,"Monroe, LA: Monroe Regional"
MOB,"Mobile, AL: Mobile Regional"
MQT,"Marquette, MI: Sawyer International"
MRY,"Monterey, CA: Monterey Regional"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSO,"Missoula, MT: Missoula International"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MTJ,"Montrose/Delta, CO: Montrose Regional"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OAK,"Oakland, CA: Metropolitan Oakland International"
OKC,"Oklahoma City, OK: Will Rogers World"
OMA,"Omaha, NE: Eppley Airfield"
ONT,"Ontario, CA: Ontario International"
ORD,"Chicago, IL: Chicago OHare International"
ORF,"Norfolk, VA: Norfolk International"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
PAH,"Paducah, KY: Barkley Regional"
PBG,"Plattsburgh, NY: Plattsburgh International"
PDX,"Portland, OR: Portland International"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
PIA,"Peoria, IL: General Downing - Peoria International"
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
PIH,"Pocatello, ID: Pocatello Regional"
PIT,"Pittsburgh, PA: Pittsburgh International"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
PNS,"Pensacola, FL: Pensacola International"
PRC,"Prescott, AZ: Ernest A. Love Field"
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
PSP,"Palm Springs, CA: Palm Springs International"
PUB,"Pueblo, CO: Pueblo Memorial"
PVD,"Providence, RI: Theodore Francis Green State"
PWM,"Portland, ME: Portland International Jetport"
RAP,"Rapid City, SD: Rapid City Regional"
RDD,"Redding, CA: Redding Municipal"
RDM,"Bend/Redmond, OR: Roberts Field"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RHI,"Rhinelander, WI: Rhinelander/Oneida County"
RIC,"Richmond, VA: Richmond International"
RKS,"Rock Springs, WY: Rock Springs Sweetwater County"
RNO,"Reno, NV: Reno/Tahoe International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
ROC,"Rochester, NY: Greater Rochester International"
ROW,"Roswell, NM: Roswell International Air Center"
RST,"Rochester, MN: Rochester International"
SAF,"Santa Fe, NM: Santa Fe Municipal"
SAN,"San Diego, CA: San Diego International"
SAT,"San Antonio, TX: San Antonio International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SBA,"Santa Barbara, CA: Santa Barbara Municipal"
SBN,"South Bend, IN: South Bend International"
SBP,"San Luis Obispo, CA: San Luis County Regional"
SCE,"State College, PA: University Park"
SDF,"Louisville, KY: Louisville International-Standiford Field"
SEA,"Seattle, WA: Seattle/Tacoma International"
SFO,"San Francisco, CA: San Francisco International"
SGF,"Springfield, MO: Springfield-Branson National"
SGU,"St. George, UT: St George Regional"
SHD,"Staunton, VA: Shenandoah Valley Regional"
SHV,"Shreveport, LA: Shreveport Regional"
SIT,"Sitka, AK: Sitka Rocky Gutierrez"
SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
SLC,"Salt Lake City, UT: Salt Lake City International"
SLN,"Salina, KS: Salina Regional"
SMF,"Sacramento, CA: Sacramento International"
SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
SPI,"Springfield, IL: Abraham Lincoln Capital"
STL,"St. Louis, MO: St Louis Lambert International"
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
SWF,"Newburgh/Poughkeepsie, NY: Stewart International"
SYR,"Syracuse, NY: Syracuse Hancock International"
TOL,"Toledo, OH: Toledo Express"
TPA,"Tampa, FL: Tampa International"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TUL,"Tulsa, OK: Tulsa International"
TUS,"Tucson, AZ: Tucson International"
TVC,"Traverse City, MI: Cherry Capital"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
TYS,"Knoxville, TN: McGhee Tyson"
UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
VEL,"Vernal, UT: Vernal Regional"
VLD,"Valdosta, GA: Valdosta Regional"
WYS,"West Yellowstone, MT: Yellowstone"
XNA,"Fayetteville, AR: Northwest Arkansas Regional"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
ABQ,"Albuquerque, NM: Albuquerque International Sunport"
ALB,"Albany, NY: Albany International"
ANC,"Anchorage, AK: Ted Stevens Anchorage International"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
BDL,"Hartford, CT: Bradley International"
BGR,"Bangor, ME: Bangor International"
BIL,"Billings, MT: Billings Logan International"
BNA,"Nashville, TN: Nashville International"
BOI,"Boise, ID: Boise Air Terminal"
BOS,"Boston, MA: Logan International"
BQN,"Aguadilla, PR: Rafael Hernandez"
BTV,"Burlington, VT: Burlington International"
BUF,"Buffalo, NY: Buffalo Niagara International"
BUR,"Burbank, CA: Bob Hope"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BZN,"Bozeman, MT: Bozeman Yellowstone International"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CRP,"Corpus Christi, TX: Corpus Christi International"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
DCA,"Washington, DC: Ronald Reagan Washington National"
DEN,"Denver, CO: Denver International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DLH,"Duluth, MN: Duluth International"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
ELP,"El Paso, TX: El Paso International"
EUG,"Eugene, OR: Mahlon Sweet Field"
EWR,"Newark, NJ: Newark Liberty International"
FAI,"Fairbanks, AK: Fairbanks International"
FAT,"Fresno, CA: Fresno Yosemite International"
FCA,"Kalispell, MT: Glacier Park International"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
FSD,"Sioux Falls, SD: Joe Foss Field"
GEG,"Spokane, WA: Spokane International"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GUM,"Guam, TT: Guam International"
HNL,"Honolulu, HI: Daniel K Inouye International"
IAD,"Washington, DC: Washington Dulles International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
IND,"Indianapolis, IN: Indianapolis International"
ITO,"Hilo, HI: Hilo International"
JAC,"Jackson, WY: Jackson Hole"
JAX,"Jacksonville, FL: Jacksonville International"
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
LAS,"Las Vegas, NV: McCarran International"
LAX,"Los Angeles, CA: Los Angeles International"
LGA,"New York, NY: LaGuardia"
LIH,"Lihue, HI: Lihue Airport"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MCI,"Kansas City, MO: Kansas City International"
MCO,"Orlando, FL: Orlando International"
MDT,"Harrisburg, PA: Harrisburg International"
MEM,"Memphis, TN: Memphis International"
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
MFR,"Medford, OR: Rogue Valley International - Medford"
MIA,"Miami, FL: Miami International"
MKE,"Milwaukee, WI: General Mitchell International"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSO,"Missoula, MT: Missoula International"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OGG,"Kahului, HI: Kahului Airport"
OKC,"Oklahoma City, OK: Will Rogers World"
OMA,"Omaha, NE: Eppley Airfield"
ONT,"Ontario, CA: Ontario International"
